1,2016-01-22-46,1.0
2,2016-01-22-46,0
3,2016-01-22-46,0
4,2016-01-22-46,3.0
5,2016-01-22-46,0
6,2016-01-22-46,0
7,2016-01-22-46,40.0
8,2016-01-22-46,324.0
9,2016-01-22-46,0
10,2016-01-22-46,0
11,2016-01-22-46,0
12,2016-01-22-46,0
13,2016-01-22-46,0
14,2016-01-22-46,37.0
15,2016-01-22-46,0
16,2016-01-22-46,0
17,2016-01-22-46,0
18,2016-01-22-46,0
19,2016-01-22-46,0
20,2016-01-22-46,0
21,2016-01-22-46,3.0
22,2016-01-22-46,2.0
23,2016-01-22-46,151.0
24,2016-01-22-46,25.0
25,2016-01-22-46,0
26,2016-01-22-46,5.0
27,2016-01-22-46,15.0
28,2016-01-22-46,4.0
29,2016-01-22-46,0
30,2016-01-22-46,0
31,2016-01-22-46,0
32,2016-01-22-46,0
33,2016-01-22-46,0
34,2016-01-22-46,0
35,2016-01-22-46,0
36,2016-01-22-46,0
37,2016-01-22-46,64.0
38,2016-01-22-46,3.0
39,2016-01-22-46,0
40,2016-01-22-46,0
41,2016-01-22-46,0
42,2016-01-22-46,2.0
43,2016-01-22-46,0
44,2016-01-22-46,0
45,2016-01-22-46,0
46,2016-01-22-46,31.0
47,2016-01-22-46,0
48,2016-01-22-46,6.0
49,2016-01-22-46,0
50,2016-01-22-46,0
51,2016-01-22-46,23.0
52,2016-01-22-46,0
53,2016-01-22-46,0
54,2016-01-22-46,0
55,2016-01-22-46,0
56,2016-01-22-46,0
57,2016-01-22-46,0
58,2016-01-22-46,0
59,2016-01-22-46,0
60,2016-01-22-46,0
61,2016-01-22-46,0
62,2016-01-22-46,0
63,2016-01-22-46,0
64,2016-01-22-46,0
65,2016-01-22-46,0
66,2016-01-22-46,0
1,2016-01-22-58,0
2,2016-01-22-58,0
3,2016-01-22-58,0
4,2016-01-22-58,32.0
5,2016-01-22-58,1.0
6,2016-01-22-58,15.0
7,2016-01-22-58,6.0
8,2016-01-22-58,41.0
9,2016-01-22-58,1.0
10,2016-01-22-58,0
11,2016-01-22-58,1.0
12,2016-01-22-58,0
13,2016-01-22-58,0
14,2016-01-22-58,2.0
15,2016-01-22-58,0
16,2016-01-22-58,8.0
17,2016-01-22-58,0
18,2016-01-22-58,0
19,2016-01-22-58,0
20,2016-01-22-58,0
21,2016-01-22-58,0
22,2016-01-22-58,7.0
23,2016-01-22-58,68.0
24,2016-01-22-58,34.0
25,2016-01-22-58,12.0
26,2016-01-22-58,10.0
27,2016-01-22-58,4.0
28,2016-01-22-58,10.0
29,2016-01-22-58,0
30,2016-01-22-58,0
31,2016-01-22-58,1.0
32,2016-01-22-58,0
33,2016-01-22-58,0
34,2016-01-22-58,2.0
35,2016-01-22-58,0
36,2016-01-22-58,0
37,2016-01-22-58,120.0
38,2016-01-22-58,5.0
39,2016-01-22-58,0
40,2016-01-22-58,12.0
41,2016-01-22-58,0
42,2016-01-22-58,2.0
43,2016-01-22-58,0
44,2016-01-22-58,0
45,2016-01-22-58,0
46,2016-01-22-58,60.0
47,2016-01-22-58,0
48,2016-01-22-58,2.0
49,2016-01-22-58,0
50,2016-01-22-58,0
51,2016-01-22-58,9.0
52,2016-01-22-58,0
53,2016-01-22-58,11.0
54,2016-01-22-58,0
55,2016-01-22-58,0
56,2016-01-22-58,0
57,2016-01-22-58,0
58,2016-01-22-58,0
59,2016-01-22-58,0
60,2016-01-22-58,0
61,2016-01-22-58,0
62,2016-01-22-58,0
63,2016-01-22-58,0
64,2016-01-22-58,0
65,2016-01-22-58,0
66,2016-01-22-58,0
1,2016-01-22-70,5.0
2,2016-01-22-70,0
3,2016-01-22-70,0
4,2016-01-22-70,2.0
5,2016-01-22-70,1.0
6,2016-01-22-70,4.0
7,2016-01-22-70,16.0
8,2016-01-22-70,63.0
9,2016-01-22-70,3.0
10,2016-01-22-70,0
11,2016-01-22-70,8.0
12,2016-01-22-70,9.0
13,2016-01-22-70,5.0
14,2016-01-22-70,4.0
15,2016-01-22-70,0
16,2016-01-22-70,0
17,2016-01-22-70,0
18,2016-01-22-70,0
19,2016-01-22-70,2.0
